"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief002ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu, entre 1804 et 1806)","Letter from Adelbert von Chamisso to Louis de La Foye (without place, between 1804 and 1806)","Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort, zwischen 1804 und 1806)","correspondance","Adelbert von Chamisso","1804","de grc fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462414"
"Brief004ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (probablement Berlin, probablement au printemps 1805)","Letter from Adelbert von Chamisso to Louis de La Foye (probably Berlin, probably spring 1805)","Brief von Adelbert von Chamisso an Louis de La Foye (wahrscheinlich Berlin, wahrscheinlich Frühling 1805)","correspondance","Adelbert von Chamisso","1805","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462415"
"Brief005ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (fragement) (sans lieu, 26 juin 1804)","Letter from Adelbert von Chamisso to Louis de La Foye (fragment) (without place, 26 june 1804)","Brief von Adelbert von Chamisso an Louis de La Foye (Fragment) (ohne Ort, 26. Juni 1804)","correspondance","Adelbert von Chamisso","1804-06-26","de grc fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462416"
"Brief006ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso an Louis de La Foye (Berlin, 15 août 1804)","Letter from Adelbert von Chamisso to Louis de La Foye (Berlin, 15 august 1804)","Brief von Adelbert von Chamisso an Louis de La Foye (Berlin, 15. August 1804)","correspondance","Adelbert von Chamisso","1804-08-15","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462417"
"Brief007ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (fragement) (probablement Berlin, probablement 20 septembre 1804)","Letter from Adelbert von Chamisso to Louis de La Foye (fragment) (probably Berlin, probably 20 September 1804)","Brief von Adelbert von Chamisso an Louis de La Foye (Fragment) (wahrscheinlich Berlin, wahrscheinlich 20. September 1804)","correspondance","Adelbert von Chamisso","1804-09-20","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462418"
"Brief008ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu, fin octobre 1804)","Letter from Adelbert von Chamisso to Louis de La Foye (without place, end of October 1804)","Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort, Ende Oktober 1804)","correspondance","Adelbert von Chamisso","1804-10","de grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462419"
"Brief009ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu, 6 decembre 1804)","Letter from Adelbert von Chamisso to Louis de La Foye (without place, 6 December 1804)","Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort, 6. Dezember 1804)","correspondance","Adelbert von Chamisso","1804-12-06","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462420"
"Brief010ChamissoandeLaFoye","Lettre d'Adelbert von Chamisso à Louis de La Foye (probablement Berlin, 20 janvier 1805)","Letter from Adelbert von Chamisso to Louis de La Foye (probably Berlin, 2O january 1805)","Brief von Adelbert von Chamisso an Louis de La Foye (wahrscheinlich Berlin, 20. Januar 1805)","correspondance","Adelbert von Chamisso","1805-01-20","de fr grc","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462421"
"Brief011ChamissoandeLaFoye","Lettre d'Adelbert de Chamisso à Louis de La Foye (sans lieu, 1 mars 1805)","Letter from Adelbert von Chamisso to Louis de La Foye (without place, 1 march 1805)","Brief von Adelbert von Chamisso an Louis de La Foye (ohne Ort, 1. März 1805)","correspondance","Adelbert von Chamisso","1805-03-01","de grc fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462422"
"Brief012ChamissoandeLaFoye","Lettre d'Adelbert von Chamisso à Louis de La Foye (probablement Berlin, 25 mai 1805)","Letter from Adelbert von Chamisso to Louis de La Foye (probably Berlin, 25 may 1805)","Brief von Adelbert von Chamisso an Louis de La Foye (wahrscheinlich Berlin, 25. Mai 1805)","correspondance","Adelbert von Chamisso","1805-05-25","de fr","Romantisme littéraire Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.8c462423"
