"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief01vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Blumenow, 30 avril 1759)","Letter from Adolf von Buch to Louis de Beausobre (Blumenow, 30 April 1759)","Brief von Adolf von Buch an Louis de Beausobre (Blumenow, 30. April 1759)","correspondance","Adolf von Buch","1759-04-30","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief02vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 31 octobre 1760)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 31 October 1760)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 31. Oktober 1760)","correspondance","Adolf von Buch","1760-10-31","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief03vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 15 janvier 1761)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 15 January 1761)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 15. Januar 1761)","correspondance","Adolf von Buch","1761-01-15","fr de","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief04vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 13 août 1761) ","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 13 August 1761)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 13. August 1761)","correspondance","Adolf von Buch","1761-08-13","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief05vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 19 novembre 1761)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 19 November 1761)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 19. November 1761)","correspondance","Adolf von Buch","1761-11-19","fr de","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief06vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 28 décembre 1761)","Letter from Adolf von Buch to Louis de Beausobre /Magdeburg, 28 December 1761)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 28. Dezember 1761)","correspondance","Adolf von Buch","1761-12-28","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief07vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 4 janvier 1762)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 4 January 1762)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 4. Januar 1762)","correspondance","Adolf von Buch","1762-01-04","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief08vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 12 janvier 1762)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 12 January 1762)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 12. Januar 1762)","correspondance","Adolf von Buch","1762-01-12","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief09vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, 21 janvier 1762)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 21 January 1762)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 21. Januar 1762)","correspondance","Adolf von Buch","1762-01-21","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief10vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (probablement Magdebourg, entre le 21 janvier et le 23 février 1762)","Letter from Adolf von Buch to Louis de Beausobre (probably Magdeburg, between 21 January and 23 February 1762)","Brief von Adolf von Buch an Louis de Beausobre (vermutl. Magdeburg, zwischen dem 21. Januar und dem 23. Februar 1762)","correspondance","Adolf von Buch","1762-01-21","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief11vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, le 23 février 1762)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 23 February 1762)","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 23. Februar 1762)","correspondance","Adolf von Buch","1762-02-23","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief12vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Magdebourg, le 12 mars 1762)","Letter from Adolf von Buch to Louis de Beausobre (Magdeburg, 12 March 1762","Brief von Adolf von Buch an Louis de Beausobre (Magdeburg, 12. März 1762)","correspondance","Adolf von Buch","1762-03-12","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief13vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 22 juillet 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresde, 22 July 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 22. Juli 1763)","correspondance","Adolf von Buch","1763-07-22","fr de","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief14vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 7 octobre 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 7 October 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 7 Oktober 1763)","correspondance","Adolf von Buch","1763-07-22","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief15vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 21 octobre 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 21 October 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 21. Oktober 1763)","correspondance","Adolf von Buch","1763-10-21","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief16vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 30 novembre et le 2 décembre 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 30 November and 2 December 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 30. November und 2. Dezember 1763)","correspondance","Adolf von Buch","1763-11-30","fr de","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief17vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, les 16 et 18 décembre 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 16 and 18 December 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 16. und 18. Dezember 1763)","correspondance","Adolf von Buch","1763-12-16","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief18vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 23 décembre 1763)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 23 December 1763)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 23. Dezember 1763)","correspondance","Adolf von Buch","1763-12-23","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief19vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 8 juin 1764)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 8 June 1764)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 8. Juni 1764)","correspondance","Adolf von Buch","1764-06-08","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
"Brief20vonBuchanBeausobre","Lettre d'Adolf von Buch à Louis de Beausobre (Dresde, le 10 août 1764)","Letter from Adolf von Buch to Louis de Beausobre (Dresden, 10 August 1764)","Brief von Adolf von Buch an Louis de Beausobre (Dresden, 10. August 1764)","correspondance","Adolf von Buch","1764-08-10","fr","Culture francophone Berlin intellectuel","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.d4dcm6sh"
