"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief007Boeckh","Lettre d'August Boeckh au ministère de l'Éducation et des Affaires culturelles (Berlin, 14 novembre 1822)","Letter of August Boeckh to the Ministry of Culture (Berlin, 14 November 1822)","Brief von August Boeckh an das Preußische Kultusministerium, Unterrichtsabteilung (Berlin, 14. November 1822)","rapport","August Boeckh","1822-11-14","de","Université de Berlin","Humboldt University of Berlin","Reuse subject to prior approval by the University archive","10.34847/nkl.e5d9599n"
"Brief008Boeckh","Lettre du ministère de l'Éducation et des Affaires culturelles à August Boeckh (Berlin, 18 janvier 1823)","Letter from the Ministry of Culture to August Boeckh (Berlin, 18 January 1823)","Brief des Preußischen Kultusministeriums, Unterrichtsabteilung, an August Boeckh (Berlin, 18. Januar 1823)","rapport","Preußisches Kultusministerium, Unterrichtsabteilung","1823-01-18","de","Université de Berlin","Humboldt University of Berlin","Reuse subject to prior approval by the University archive","10.34847/nkl.e5d9599n"
"Brief102BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 21 avril 1830)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 21 April 1830)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 21. April 1830)","correspondance","August Boeckh","1830-04-21","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief103BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 28 mars 1834)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 28 March 1834)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 28. März 1834)","correspondance","August Boeckh","1834-03-28","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief104BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 20 juin 1834)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 20 June 1834)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 20. Juni 1834)","correspondance","August Boeckh","1834-06-20","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief105BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 7 juin 1836)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 7 June 1836)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 7. Juni 1836)","correspondance","August Boeckh","1836-06-07","de la","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief106BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 1 juin 1837)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 1 June 1837)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 1. Juni 1837)","correspondance","August Boeckh","1837-06-01","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief107BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 4 décembre 1840)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 3 December 1840)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 3. Dezember 1840)","correspondance","August Boeckh","1840-12-03","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief108BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 29 mai 1841)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 29 May 1841)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 29. Mai 1841)","correspondance","August Boeckh","1841-05-29","de","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
"Brief109BoeckhanVarnhagen","Lettre d'August Boeckh à Karl August Varnhagen von Ense (Berlin, 29 mars 1844)","Letter from August Boeckh to Karl August Varnhagen von Ense (Berlin, 29 March 1844)","Brief von August Boeckh an Karl August Varnhagen von Ense (Berlin, 29. März 1844)","correspondance","August Boeckh","1844-03-29","de la","Université de Berlin Romantisme littéraire","Jagiellonian University Kraków","Reuse subject to prior approval by the University library","10.34847/nkl.e5d9599n"
