"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief02DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 17 octobre 1831)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 17 October 1831)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 17. Oktober 1831)","correspondance","Dorothea Tieck","1831-10-17","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k7"
"Brief03DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 31 janvier 1832)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 31 January 1832)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 31. Januar 1832)","correspondance","Dorothea Tieck","1832-01-31","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k8"
"Brief04DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (fragement) (Dresden, 4 avril 1832)","Letter from Dorothea Tieck to Friedrich von Uechtritz (fragment) (Dresden, 4 April 1832)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Fragment) (Dresden, 4. April 1832)","correspondance","Dorothea Tieck","1832-04-04","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k9"
"Brief05DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (fragement) (sans lieu, sans date)","Letter from Dorothea Tieck to Friedrich von Uechtritz (fragment) (without place, without date)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Fragment) (ohne Ort, ohne Datum)","correspondance","Dorothea Tieck","null","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k10"
"Brief06DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 15 décembre 1832)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 15 December 1832)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 15. Dezember 1832)","correspondance","Dorothea Tieck","1832-12-15","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k11"
"Brief07DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 8 mars 1833)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 8 March 1833)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 8. März 1833)","correspondance","Dorothea Tieck","1833-03-08","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k12"
"Brief08DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 20 mai 1833)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 20 May 1833)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 20. Mai 1833)","correspondance","Dorothea Tieck","1833-05-20","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k13"
"Brief09DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 22 juillet 1833)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 22 July 1833)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 22. Juli 1833)","correspondance","Dorothea Tieck","1833-07-22","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k14"
"Brief10DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 12 septembre 1833)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 12 September 1833)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 12. September 1833)","correspondance","Dorothea Tieck","1833-09-12","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k15"
"Brief11DorotheaTieckanUechtritz","Lettre de Dorothea Tieck à Friedrich von Uechtritz (Dresden, 30 octobre 1833)","Letter from Dorothea Tieck to Friedrich von Uechtritz (Dresden, 30 October 1833)","Brief von Dorothea Tieck an Friedrich von Uechtritz (Dresden, 30. Oktober 1833)","correspondance","Dorothea Tieck","1833-10-30","de","Romantisme littéraire","Oberlausitzische Bibliothek der Wissenschaften Görlitz","Reuse subject to prior approval by the library","10.34847/nkl.1d3b74k16"
