"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief02vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint-Pétersbourg, 15 août 1766)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 15 August 1766)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 15. August 1766)","correspondance","Johann Albrecht Euler","1766-08-15","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief03vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 21 novembre 1766)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 21 novembre 1766)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 21. November 1766)","correspondance","Johann Albrecht Euler","1766-11-21","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief04vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 25 Decembre 1766)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 25 décembre 1766)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 25. Dezember 1766)","correspondance","Johann Albrecht Euler","1766-12-25","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief05vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 2 janvier 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 2 January 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 2. Januar 1767)","correspondance","Johann Albrecht Euler","1767-01-02","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief06vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 7 février 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 7 February 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 7. Februar 1767)","correspondance","Johann Albrecht Euler","1767-02-07","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief07vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 1 Mars 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 1 March 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 1. März 1767)","correspondance","Johann Albrecht Euler","1767-03-01","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief08vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, Avril 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, Avril 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, April 1767)","correspondance","Johann Albrecht Euler","1767-04","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief09vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 16 avril 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 16 April 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 16. April 1767)","correspondance","Johann Albrecht Euler","1767-04-16","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief10vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 20 avril 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 20 April 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 20. April 1767)","correspondance","Johann Albrecht Euler","1767-04-20","fr","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
"Brief11vonJAEuleranJHSFormey","Lettre de Jean Albert Euler à Jean Henri Samuel Formey (Saint Pétersbourg, 20 avril 1767)","Letter from John Albert Euler to Jean Henri Samuel Formey (Saint Petersburg, 20 April 1767)","Brief von Johann Albrecht Euler an Jean Henri Samuel Formey (Sankt Petersburg, 20. April 1767)","correspondance","Johann Albrecht Euler","1767-04-20","fr ru la","Culture francophone","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.e9f2422o"
