"file","title_fr","title_en","title_de","genre","author","date","languages","topic","rights_holder","accessRights","collection"
"Brief01TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Ziebingen, 30 mars 1815)","Letter from Ludwig Tieck to Friedrich von Raumer (Ziebingen, 30 March 1815)","Brief von Ludwig Tieck an Friedrich von Raumer (Ziebingen, 30. März 1815)","correspondance","Ludwig Tieck","1815-03-30","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief02TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Ziebingen, 2 février 1818)","Letter from Ludwig Tieck to Friedrich von Raumer (Ziebingen, 2 March 1818)","Brief von Ludwig Tieck an Friedrich von Raumer (Ziebingen, 2. Februar 1818)","correspondance","Ludwig Tieck","1818-02-02","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief03TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (sans lieu ni date, probablement Dresde, novembre 1821)","Letter from Ludwig Tieck to Friedrich von Raumer (without place and date, probably Dresden, November 1821)","Brief von Ludwig Tieck an Friedrich von Raumer (ohne Ort und Datum, wahrscheinlich Dresden, November 1821)","correspondance","Ludwig Tieck","1821-11","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief04TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, le 6 décembre 1822)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 6 December 1822)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, den 6. Dezember 1822)","correspondance","Ludwig Tieck","1822-12-06","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief05TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Teplitz, le 30 juillet 1823)","Letter from Ludwig Tieck to Friedrich von Raumer (Teplitz, 30 July 1823)","Brief von Ludwig Tieck an Friedrich von Raumer (Teplitz, 30. Juli 1823)","correspondance","Ludwig Tieck","1823-07-30","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief06TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, le 15 septembre 1823)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 15 September 1823)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 15. September 1823)","correspondance","Ludwig Tieck","1823-09-15","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief07TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 6 octobre 1823)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 6 October 1823)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 6. Oktober 1823)","correspondance","Ludwig Tieck","1823-10-06","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief08TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, le 10 octobre 1823)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 10 October 1823)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 10. Oktober 1823)","correspondance","Ludwig Tieck","1823-10-10","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief09TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, le 27 novembre 1823)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 27 November 1823)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 27. November 1823)","correspondance","Ludwig Tieck","1823-11-27","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
"Brief10TieckanRaumer","Lettre de Ludwig Tieck à Friedrich von Raumer (Dresde, 14 mars 1824)","Letter from Ludwig Tieck to Friedrich von Raumer (Dresden, 14 march 1824)","Brief von Ludwig Tieck an Friedrich von Raumer (Dresden, 14. März 1824)","correspondance","Ludwig Tieck","1824-03-14","de","Romantisme littéraire","Berlin State Library","Reuse subject to prior approval by Staatsbibliothek Berlin","10.34847/nkl.c2e36kjz"
