"entity","identifier"
"C(arnegie|ARNEGIE) E(ndowment|NDOWMENT)","g0001"
"D(otation|OTATION|OATATION) (c|C)(arnegie|ARNEGIE)","g0001"
"Fondation Carnegie","g0001"
"S(énat|ÉNAT|ENAT)( (a|A)méricain)?",""
"29ème Chasseurs","g0003"
"2e Division","g0004"
"Académie des inscriptions","g0005"
"Académie des Sciences( Morales)?",""
"A(cadémie|CADÉMIE) F(rançaise|RANCAISE)","g0008"
"Action Française","g0009"
"Aéro-Club américain","g0010"
"Aéro-Club de France","g0011"
"Affaires Etrang(e|è)res( de Russie)?",""
"Agence Fournier","g0014"
"Agence(s) Havas","g0015"
"Air Board","g0016"
"A(merican|MERICAN) (c|C)(LUB|lub)( de Paris| DE PARIS)?","g0017"
"American Review of Reviews","g0018"
"Assemblée Nationale","g0019"
"Banque de France","g0020"
"B(erkely|ERKELY) U(niversity|NIVERSITY)","g0021"
"Chambre des Députés","g0023"
"C(olumbia|OLUMBIA)( University)?","g0024"
"Croix Rouge","g0025"
"Douma","g0026"
"Ecole de Joinville","g0027"
"Ecole de P(au|AU)","g0028"
"Ecole de St-Cyr","g0029"
"Ecole de tir aérien","g0030"
"Ecole des Grenadiers","g0031"
"Ecole des Sciences Morales","g0032"
"Ecole Normale","g0033"
"Entente Cordiale","g0034"
"Etat(-| )Major allemand","g0035"
"Faculté de Droit( de Paris)?","g0036"
"Faculté(s)? des Lettres( de Paris)?","g0037"
"Faculté des Sciences( de Paris)?","g0038"
"Fédération Nationale de la Mutualité","g0039"
"Ford","g0040"
"Garde Républicaine","g0041"
"Gardes Ecossais","g0042"
"Gardes Municipaux","g0043"
"Havas","g0044"
"Institut Américain","g0045"
"I(NSTITUT|nstitut) (D|d)('|’)(OPTIOUE|optique)","g0046"
"Institut National des Arts et des Lettres","g0047"
"Institut Pasteur","g0048"
"MORGAN HARJES","g0049"
"P(arlement|ARLEMENT)( (b|B)ritannique)?( (f|F)rançais)?( anglais)?( italien)?( Russe)?",""
"Quakers","g0055"
"Régiment du 110 ème d'Infanterie","g0056"
"R(eichstag|EICHSTAG)","g0057"
"SOCIETE de l'HISTOIRE de la GUERRE","g0059"
"S(ociété|ocieté|OCIETE|OCIÉTÉ) (de(s)?|DES|of)( |/)N(ations|ATIONS)","g0060"
"Société des Beaux-Arts","g0061"
"Société (p|P)éruvienne( de Droit International)?","g0062"
"Société Suisse Genevoise","g0063"
"U(NION|nion) (DE|de(s)?) A(SSOCIATIONS|ssociations)( INTERNATIONALES)?","g0064"
"Union Française","g0065"
"(U|u)nion (I|i)nterallié(e)?","g0066"
"Union Interparlementaire","g0067"
"Union League club de Philadelphie","g0068"
"union républicaine","g0069"
"Union sacrée contre l'Allemagne","g0070"
"United States corporation","g0071"
"Université de Harward","g0072"
"U(niversité de Paris|NIVERSITÉ DE PARIS)","g0073"
"War Office","g0074"
"Y.M.C.A.","g0075"
"Zemstvos","g0076"
