"entity","identifier"
"(Madame )?(M. ?)?(Baron )?(D|d)('|’)E(STOURNELLES|stournelles)( (de|DE) C(ONSTANT|onstant)?",""
"((M(. |adame))?((le )?P(résident|RÉSIDENT) ?)?((N|H)(.|icholas)? ?)?(M(urray|.))? )?B(u(l)?tler|UTLER)",""
"Major ABBOTT","p0003"
"M. Abrami","p0004"
"Paul Adam","p0005"
"(M.|(B|b)aron) A(delsward|DELSWARD)","p0006"
"Felix Alcan","p0007"
"Miss Alexander","p0008"
"Alexandre le Grand","p0009"
"Almereyda","p0010"
"Amelot","p0011"
"(M(e)?lle.? ?) A(MELOT|melot)","p0012"
"(C|c)ardinal Amette","p0013"
"FERN ANDREWS","p0014"
"ANDRIEUX","p0015"
"ANGELL","p0016"
"Anibal MAURTUA","p0017"
"Anselmo V. BARRETO","p0018"
"(M.|Alexandre) ANTONIADES (Alexandre )","p0019"
"Antonio MUO","p0020"
"((M.)? ?(P.)?(Paul)? )?A(ppell|PPELL)","p0021"
"Apponyi","p0022"
"Archimède","p0023"
"Aristide Briand","p0024"
"Armez","p0025"
"Artaban","p0026"
"Arturo GARCIA","p0027"
"Attila","p0028"
"Amiral Aube","p0029"
"Révérend J.B.ASHAM","p0030"
"Aubigné","p0031"
"Augagneur","p0032"
"Auguste Gauvain","p0033"
"Auguste Lalance","p0034"
"(M. )?A(ulard|ULARD)","p0035"
"Bach","p0036"
"(Robert )?Bacon","p0037"
"Major BAIRD","p0038"
"((A|M). )?Balfour","p0039"
"Balzac","p0040"
"Barbosa","p0041"
"B(arbusse|ARBUSSE)","p0042"
"((M.|Maurice) )?Barrès","p0043"
"Jean Bart","p0044"
"((L.|M.|Louis) )?Barthou","p0045"
"Batut","p0046"
"Bazelaire","p0047"
"Beaumarchais","p0048"
"((M. )?(Louis D.)? )?Beaumont","p0049"
"B(EETHOVEN|EETHOVEN)","p0050"
"Victor Andres BELAUNDE","p0051"
"(Alexandre )?Bérard","p0052"
"((M.|Henry) )?B(e|é)renger","p0053"
"Emile BERGERAT","p0054"
"((H|M). )?B(ergson|ERGSON)","p0055"
"Maurice Bernard","p0056"
"Edouard Bernstein","p0057"
"BERTHELOT","p0058"
"(Mlle.? )?B(érubet|ERUBET)","p0059"
"Bethmann-Holweg","p0060"
"M. Bickoff","p0061"
"Paul B(ignon|IGNON)","p0062"
"BIGNON (Paul )","p0063"
"Bischoote","p0064"
"Bismarck","p0065"
"(Vidal de la )?B(LACHE|lache)","p0066"
"Louis Blanc","p0067"
"J(.|ulien) Bled","p0068"
"Blériot","p0069"
"BLUM","p0070"
"Blumenthal","p0071"
"(Léon )?Boll","p0072"
"Bolo","p0073"
"Paul BONCOUR","p0074"
"(Gaston )?B(onnier|ONNIER)","p0075"
"Sir Robert BORDEN","p0076"
"Professeur BOUCLÉ","p0077"
"Bouffard","p0078"
"Bouglé","p0079"
"Bourdillon","p0080"
"(G(eorges|.) )?(N)?B(ourdon|OURDON) (G. )","p0081"
"((M. ?)?(L. )?(Léon )?)?B(our(n)?geois|OURGEOIS)","p0082"
"(Paul )?Bourget","p0083"
"M. Boutroux","p0084"
"B(rashear|RASHEAR)","p0085"
"Brault","p0086"
"R(e|é)v(e|é)rend Charles H. B(RENT|rent)","p0087"
"E.Briat","p0088"
"((M. )?(A. ?)? )?B(riand|RIAND)","p0089"
"BRIEUX","p0090"
"Commandant BRIGGS","p0091"
"Brisson","p0092"
"(Dr.|M.) Broda","p0093"
"Brout","p0094"
"((M. )?(James |John )?)?Brown S(cott|SCOTT)","p0095"
"(J.W.|M. W.|M. W.J.|W.J.) B(ryan|RYAN)","p0096"
"Lord B(ryce|RYCE)","p0097"
"Builer","p0098"
"(Ferdinand |P. ?)?B(uisson|UISSON)","p0099"
"Bulöw","p0100"
"Buquin (Dr. )","p0101"
"Henry Cabot Lodge","p0103"
"((M. )?(Marcel )?)?C(achin|ACHIN)","p0104"
"Général Cadorna","p0105"
"((Mme.? ?)(M. )?(Joseph )?)?C(aillaux|AILLAUX)",""
"Calmette","p0107"
"(Ambassadeur Paul |((M. )?(J(ules|ULES) )?))?C(ambon|AMBON)","p0108"
"Général Cambronne","p0109"
"Camille Bloch","p0110"
"Campbell Pannermann","p0111"
"Caquot","p0112"
"( (M(.|adame|me.? ?) )?(A(. |ndrew )?)?C(arnegie|ARNEGIE)",""
"(Sadi-|Adolphe )?C(arnot|ARNOT)","p0115"
"Carnot (Sadi-)","p0116"
"Eugène Carrière","p0117"
"(Gustave )?Cauvin","p0118"
"Miss Cavell","p0119"
"César Fran(c)?k","p0120"
"M. Cestre","p0121"
"Oliver M. CHADWICK","p0122"
" (Mme.? ?)?Chamberlain","p0123"
"Champlain","p0124"
"Chancelier Hertling","p0125"
"Changy","p0126"
"Chaptal","p0127"
"Charlemagne","p0128"
"Francis Charmes","p0129"
"Chartier","p0130"
"Chauchard","p0131"
"M. CHAUMET","p0132"
"((M. )?(André )?)?Chéradame","p0133"
"((M. )?(Henry )?)?Chéro(n|u)","p0134"
"Chevillard","p0135"
"((Joseph H. )?(Madame )?(Mlle.? )?)?C(HOATE|hoate)","p0136"
"Christ","p0137"
"(Winston )?(C|c)hurchil(l)?","p0138"
"Cincinnatus","p0139"
"(M. )?C(lauzel|LAUZEL)","p0140"
"M. Claveille","p0141"
"(M. )?C(l(e|é)menceau|LEMENCEAU)","p0142"
"(M. )?C(lémentel|LEMENTEL)","p0143"
"(Denys )?Cochin","p0144"
"Colin","p0145"
"M. Combes","p0146"
"Comby","p0147"
"Commodore PAYNE","p0148"
"B(.|enjamin) C(ONSTANT|onstant)","p0149"
"Constantin","p0150"
"Consuelo","p0151"
"Corréard","p0152"
"Corry","p0153"
"Cottin","p0154"
"Coubertin","p0155"
"C(ouyba|OUYBA)","p0156"
"Lord COWDRAY","p0157"
"A(.|lfred) Croiset","p0158"
"Arthur Croussier","p0159"
"Cuesta","p0160"
"Cunliffe Owen","p0161"
"Czernin","p0162"
"A(.|ndrew )D. White","p0163"
"d'Annunzio","p0164"
"d'Audigné","p0165"
"Vincent d'Indy","p0166"
"(M.|Alberto) d'O(liveira|LIVEIRA)","p0167"
"Dr. Dagincourt","p0168"
"(M. )?D(ato|ATO)","p0169"
"(Léon )?D(audet|AUDET)","p0170"
"David Starr Jordan","p0171"
"Dayton","p0172"
"(Comte|M.) de Beaumont","p0173"
"(Madame la Marquise |(Mme.? ?))de Canay","p0174"
"(M.|Baron) de Chambrun","p0175"
"comte de Dreux-Brézé","p0176"
"M. de Fleuriau","p0177"
"(Mme.? ?)de Ganay","p0178"
"(M.|(D|d)uc) de Guiche","p0179"
"Général de L(acroix|ACROIX)","p0180"
"(M. )?((A|C). )?de L(apradelle|APRADELLE)","p0181"
"(D|d)uc(hesse)? de Marlborough",""
"(M.|(C|c)omte) de Nicolay","p0183"
"M. Jean de Pierrefeu","p0184"
"comte de Rougé pour Sablé","p0185"
"Madame de Saint-Gervais","p0186"
"(M. ?) (J. )?de Sillac","p0187"
"M. de Staal","p0188"
"M(.|arquis) de Talhouet","p0189"
"(Mme.? ?)de WITT-SCHLUMBERGER","p0190"
"D(ebove|EBOVE)","p0191"
"Decamps","p0192"
"Degas","p0193"
"Delagrave","p0194"
"(M. )?D(elcassé|ELCASSÉ)","p0195"
"Lord Derby","p0196"
"Paul Déroulède","p0197"
"Stéphane Dervillé","p0198"
"((D|d)uc )des Curs","p0199"
"Lord Desart","p0200"
"Paul Deschanel","p0201"
"Dessoye","p0202"
"M. W.J DEYAN","p0203"
"Général Diaz","p0204"
"Sir Willoughby Dickinson","p0205"
"Maurice Donnay","p0206"
"Professeur Douglas","p0207"
"((G|M|P(aul)?).) D(oumer|OUMER)","p0208"
"(Gaston )?D(oumergue|OUMERGUE)","p0209"
"D(reyfus|REYFUS)","p0210"
"Sir Eric Drummond","p0211"
"Du Guesclin","p0212"
"Président Dubost","p0213"
"(M|R). ?Dubreuilh","p0214"
"Dufayel","p0215"
"Duguay Trouin","p0216"
"(Jacques )?D(umas|UMAS)","p0217"
"Jean Dupuy","p0218"
"Durand","p0219"
"(Samuel )?Dutton","p0220"
"Duval","p0221"
