"entity","identifier"
"P(aris|ARIS)","l0001"
"(l|L)a Flèche","l0002"
"N(.|ew|EW)(-| )?Y(ork|ORK)","l0003"
"((L|l)(E|e) )?M(ans|ANS)","l0004"
"(r|R)ue Molitor","l0005"
"((c|C)(l(e|é)rmont|LERMONT)(-| ))?C(réans|R(É|E)ANS)","l0006"
"C(roisic|ROISIC)","l0007"
"Guirec","l0008"
"Pas-de-Calais","l0009"
"Venise","l0010"
"(l')Atlanti(a|q)(u|n)e","l0011"
"9 Square Vergote","l0012"
"Ablain","l0013"
"Aboukir","l0014"
"Acropole","l0015"
"Adriatique","l0016"
"(l')?Afrique","l0017"
"A(gadir|GADIR)","l0018"
"Agen","l0019"
"Aisne","l0020"
"(l('|’))Aisne","l0021"
"Aix-la-C(l|h)apelle","l0022"
"Albanie","l0023"
"Albion","l0024"
"Alençon","l0025"
"Alexandrie","l0026"
"Algérie","l0027"
"(L')?(A|a)((l|i)le(g|m|p)ag(n|a)e|LLEMAGNE)","l0028"
"Alpes Mancelles","l0029"
"Alpes-Maritimes","l0030"
"A(lsace|LSACE)( Française)?(-L(or(r)?ain(n)?e|OR(R)?AIN(N)?E)","l0031"
"Ambassade de Londres","l0032"
"Amérique du Sud","l0033"
"Amiens","l0034"
"Andrinople","l0035"
"Angers","l0036"
"A(ngle(r|t)erre|NGLETERRE)","l0037"
"Annamites","l0038"
"Antilles","l0039"
"Anvers","l0040"
"Argentine","l0041"
"Argonne","l0042"
"ARMENIE","l0043"
"Arménie","l0044"
"A(rras|RRAS)","l0045"
"Asie( |-)(M|m)ineure","l0046"
"Athènes","l0047"
"AUDE","l0048"
"Austin","l0049"
"Australie","l0050"
"Auteuil","l0051"
"A(utriche|UTRICHE)(-Hongrie)?","l0052"
"Auvours","l0053"
"Avenue des Champs-Elysées","l0054"
"Avord","l0055"
"Babel","l0056"
"Babylone","l0057"
"B(agdad|AGDAD)","l0058"
"Bailleul","l0059"
"B((a|â)le|ALE)","l0060"
"(les ?)?B(alkans|ALKANS)","l0061"
"canton de Ballon","l0062"
"Baltimore","l0063"
"Bar-le-Duc","l0064"
"Barr","l0065"
"Basse Bretagne","l0066"
"la Bassée","l0067"
"Bavière","l0068"
"Bayonne","l0069"
"Beauce","l0070"
"B(eaumont|EAUMONT)","l0071"
"BELCASTEL","l0072"
"Belgique","l0073"
"Bellechasse","l0074"
"Bellème","l0075"
"Belleville","l0076"
"Berckheim","l0077"
"Bergen","l0078"
"Berlin","l0079"
"Berne","l0080"
"Bessé","l0081"
"B(essonneau|ESSONNEAU)","l0082"
"B(e|é)theny","l0083"
"Béthune","l0084"
"Bois de Boulogne","l0085"
"Bonnétable","l0086"
"B(ordeaux|ORDEAUX)","l0087"
"Bosnie","l0088"
"Bosphore","l0089"
"Boston","l0090"
"Boucelles","l0091"
"BOUILLON","l0092"
"Boulogne","l0093"
"Bourg-le-Roy","l0094"
"Bourget","l0095"
"Bourgogne","l0096"
"Braye","l0097"
"Brême","l0098"
"Brésil","l0099"
"B(rest|REST)","l0100"
"Bretagne","l0101"
"Brimont","l0102"
"Bruges","l0103"
"Brûlon","l0104"
"B(ruxelles|RUXELLES)","l0105"
"(La )?Bulgarie","l0106"
"Byzance","l0107"
"Calais","l0108"
"Canada","l0109"
"canal de Panama","l0110"
"canal de St-Quentin","l0111"
"Carency","l0112"
"Carnegie Hall","l0113"
"Carthage","l0114"
"Casablanca","l0115"
"CASSAGNAC","l0116"
"CASTELNAU","l0117"
"Cathédrale de Reims","l0118"
"Caucase","l0119"
"Caudron","l0120"
"C(azaux|AZAUX)","l0121"
"C(e|é)rans-Foulletourte","l0122"
"Chahaignes","l0123"
"Chambrun","l0124"
"(la )?Champag(n|m)e","l0125"
"Charbonnier","l0126"
"Charmes","l0127"
"Chartres","l0128"
"Ch(a|â)tai(g)?ne","l0129"
"château de Blenheim","l0130"
"Château de Gaston Menier","l0131"
"Château( |-)du( |-)Loir","l0132"
"Châteaudun","l0133"
"Châteauroux","l0134"
"Chaudfontaine","l0135"
"Chauny","l0136"
"Cher","l0137"
"Chérisay","l0138"
"C(hicago|HICA(G|C)O)","l0139"
"Chili","l0140"
"((La|LA|la) )?C(hine|HINE)","l0141"
"C(hristiania|HRISTIANIA)","l0142"
"Cincinnati","l0143"
"Clermont-Ferrand","l0144"
"Coblentz","l0145"
"Colmar","l0146"
"Cologne","l0147"
"Compiègne","l0148"
"Conlie","l0149"
"(c|C)(onstantinople|ONSTANTINOPLE)","l0150"
"Contrexéville","l0151"
"Coucy","l0152"
"Coulongé","l0153"
"Courceboeufs","l0154"
"(la )?Courneuve","l0155"
"Cours-la-Reine","l0156"
"Cowdin","l0157"
"Cracovie","l0158"
"Cressy","l0159"
"Creuzot","l0160"
"Crimée","l0161"
"Curzon Street","l0162"
"Danemark","l0163"
"Dantzig","l0164"
"D(ardanelles|ARDANELLES)","l0165"
"Deauville","l0166"
"Delbruck","l0167"
"Delvincourt","l0168"
"Denver","l0169"
"Dijon","l0170"
"Dordogne","l0171"
"Dormans","l0172"
"Douai","l0173"
"Douillet-le-Joly","l0174"
"Drôme","l0175"
"Dunkerque","l0176"
"(E|É)cosse","l0177"
"(E|É)gypte","l0178"
"Empire ((a|A)llemand|d('|’)Allemagne)","l0179"
"Empire (o|O)ttoman","l0180"
"empire russe","l0181"
"Epernay","l0182"
"((l|L)('|’))E(spagne|SPAGNE)","l0183"
"(E|É)(TATS|tats)(-| )(U|u)(NIS|NIS)( d'A(mérique|MÉRIQUE))?","l0184"
"((l|L)('|’))?E(urope|UROPE)","l0185"
"Extrême-(o|O)rient","l0186"
"Fachoda","l0187"
"Faubourg St-Antoine","l0188"
"Faubourg St-Germain","l0189"
"Faubourg St-Honoré","l0190"
"Fercé","l0191"
"Fernau","l0192"
"La Ferté-Bernard","l0193"
"Finistère","l0194"
"Finlande","l0195"
"Fiume","l0196"
"Flandres","l0197"
"Folkestone","l0198"
"forêt d'Housthulst","l0199"
"forêt de Courcelles","l0200"
"forêt de Laigle","l0201"
"forêt de Perseigne","l0202"
"forêt de Vibraye","l0203"
"forêt du Mans","l0204"
"forêt Jupillé","l0205"
"fort de Douaumont","l0206"
"(une )?((l|L)(a|A))?F(rance|France)","l0207"
"Francfort","l0208"
"Fresnay","l0209"
"Gandelin","l0210"
"Garonne","l0211"
"G(enève|ENEVE)","l0212"
"G(ermany|ERMANY)","l0213"
"Gesnes","l0214"
"Gironde","l0215"
"Glasgow","l0216"
"Golfe de Gascogne","l0217"
"GOYET","l0218"
"(G|g)rande( |-)Bretagne","l0219"
"G(rèce|RECE)","l0220"
"Greez-sur-Roc","l0221"
"Hambourg","l0222"
"Hamme","l0223"
"Haute-Albanie","l0224"
"Haute-Saöne","l0225"
"((L|l)e )?H(a|â)vre","l0226"
"((la|LA|La) )?Haye","l0227"
"Hazebrouck","l0228"
"Hearst","l0229"
"Heidelberg","l0230"
"Héloup","l0231"
"Herzégovine","l0232"
"Hilaire-le-Lierru","l0233"
"Hobereaux","l0234"
"Hollande","l0235"
"Hongrie","l0236"
"hôtel Cecil","l0237"
"hôtel Crillon","l0238"
"Hôtel de Ville de Compiègne","l0239"
"Hôtel de Ville de Noyon","l0240"
"Hôtel de ville et la Bastille","l0241"
"Hôtel Edouard VII","l0242"
"Hôtel Plaza","l0243"
"Houlineaux","l0244"
"Hyde Park","l0245"
"Ile de France","l0246"
"ile Tudy","l0247"
"Inde","l0248"
"Invalides","l0249"
"Irlande","l0250"
"Isère","l0251"
"Iss(c|o)udun","l0252"
"Issy","l0253"
"((l|L)('|’))?I(talie|TALIE)","l0254"
"Janson de Sailly","l0255"
"((L|l)e )?Japon","l0256"
"Jebsheim","l0257"
"Jérusalem","l0258"
"J(uigné|UIGNÉ)","l0259"
"Jussy","l0260"
"Juvisy","l0261"
"Kiel","l0262"
"Kiev","l0263"
"Lac de Thoune","l0264"
"Landau","l0265"
"Lassigny","l0266"
"Lausanne","l0267"
"Laval","l0268"
"Lavedan","l0269"
"Le Caire","l0270"
"(l|L)e Croisic","l0271"
"L(ens|ENS)","l0272"
"Libourne","l0273"
"Liège","l0274"
"L(ille|ILLE)","l0275"
"Lintilhac","l0276"
"L(oire|OIRE)","l0277"
"L(ONDRES|ond(on|res))","l0278"
"Loquenay","l0279"
"Lorient","l0280"
"Lorraine(s)?","l0281"
"Lot-et-Garonne","l0282"
"LOUBET","l0283"
"Louvain","l0284"
"Louvigny","l0285"
"Lozère","l0286"
"Luché","l0287"
"(le )?((c|C)(anton du|ANTON DU) )?L(ude|UDE)","l0288"
"Lunéville","l0289"
"Lusitania","l0290"
"Luxembourg","l0291"
"L(yon|YON)","l0292"
"Macédoine","l0293"
"Madrid","l0294"
"Maidenhead","l0295"
"M(aine|AINE)","l0296"
"Maklakoff","l0297"
"Malbrouck","l0298"
"canton de Malicorne","l0299"
"M(amers|AMERS)","l0300"
"la Manche","l0301"
"Manitoba","l0302"
"Manoba","l0303"
"Manouba","l0304"
"(la )?Marne","l0305"
"Maroc","l0306"
"Marolles","l0307"
"Marollette","l0308"
"Marseille","l0309"
"M(ayenne|AYENNE)","l0310"
"Mayet","l0311"
"Mayfair","l0312"
"Méditerranée","l0313"
"Mélinais","l0314"
"Mer du Nord","l0315"
"Mer Egée","l0316"
"mer Jaune","l0317"
"Mer Noire","l0318"
"Mets","l0319"
"Meucon","l0320"
"Meuse","l0321"
"Mexique","l0322"
"Milesse-la-Bazoge","l0323"
"Milwaukee","l0324"
"Mont St-Eloi","l0325"
"M(ont|ONT)( |-)V(ernon|ERNON)","l0326"
"Montdidier","l0327"
"Montenegro","l0328"
"Montmartre","l0329"
"Montmirail","l0330"
"M(ontoir|ONTOIR)","l0331"
"Morbihan","l0332"
"Moscou","l0333"
"Mulhouse","l0334"
"M(unich|UNICH)","l0335"
"Nancy","l0336"
"Nantes","l0337"
"Navarre","l0338"
"Nazaire","l0339"
"Neufchatel","l0340"
"Neuville St-Vast","l0341"
