"entity","identifier"
"Atlantic Monthly( Review)?","w0002"
"Berliner Tageblatt","w0003"
"Figaro|FIGARO","w0004"
"Gazette de Zurich","w0005"
"J(ournal|OURNAL) (O|o)(fficiel|FFICIEL)","w0006"
"Journal de Genève","w0007"
"journal de l'Ouest","w0008"
"JOURNAL DES D(E|É)BATS|Journal des Débats","w0009"
"Journal Fléchois","w0010"
"Journal français d'Alsace-Lorraine","w0011"
"l'E(cho|CHO)","w0012"
"l'H(umanité|UMANITÉ)","w0013"
"l'Homme Enchaîné","w0014"
"l'I(llustration|LLUSTRATION)","w0015"
"Petit Journal","w0016"
"Revue de Paris","w0017"
"Revue des Deux-Mondes","w0018"
"Revue du 14 Juillet","w0019"
"Revue hebdomadaire","w0020"
"REVUE INTERNATIONALE","w0021"
